kunta_nro,kunta_nimi,Maakunta,latitude,longitude
743,Seinäjoki,Etelä-Pohjanmaa,62.786662897,22.842279603
746,Sievi,Pohjois-Pohjanmaa,63.906281167,24.521156852
747,Siikainen,Satakunta,61.877660372,21.823140984
748,Siikajoki,Pohjois-Pohjanmaa,64.663838767,25.103293299
791,Siikalatva,Pohjois-Pohjanmaa,64.27203017,25.863775714
749,Siilinjärvi,Pohjois-Savo,63.073664705,27.659698525
751,Simo,Lappi,65.661270047,25.062297166
753,Sipoo,Uusimaa,60.376856973,25.268516114
755,Siuntio,Uusimaa,60.138017546,24.224863347
758,Sodankylä,Lappi,67.414920225,26.590673697
759,Soini,Etelä-Pohjanmaa,62.87297229,24.210173232
761,Somero,Varsinais-Suomi,60.628290724,23.517691265
762,Sonkajärvi,Pohjois-Savo,63.669163025,27.523742906
765,Sotkamo,Kainuu,64.13202497,28.387689851
766,Sottunga,Ahvenanmaa,60.1299875,20.667418704
768,Sulkava,Etelä-Savo,61.789726328,28.378042315
771,Sund,Ahvenanmaa,60.250200171,20.116293532
777,Suomussalmi,Kainuu,64.883821118,28.904794739
778,Suonenjoki,Pohjois-Savo,62.623037446,27.127576934
781,Sysmä,Päijät-Häme,61.503771936,25.68370291
783,Säkylä,Satakunta,61.048361211,22.336785897
831,Taipalsaari,Etelä-Karjala,61.161330352,28.057579346
832,Taivalkoski,Pohjois-Pohjanmaa,65.576252124,28.240598067
833,Taivassalo,Varsinais-Suomi,60.561807633,21.611197663
834,Tammela,Kanta-Häme,60.808134311,23.760277513
837,Tampere,Pirkanmaa,61.49774257,23.761290078
844,Tervo,Pohjois-Savo,62.95214524,26.753932331
845,Tervola,Lappi,66.087024017,24.81106439
846,Teuva,Etelä-Pohjanmaa,62.484761491,21.747190967
848,Tohmajärvi,Pohjois-Karjala,62.226235418,30.333057263
849,Toholampi,Keski-Pohjanmaa,63.771687856,24.250504148
850,Toivakka,Keski-Suomi,62.097929789,26.082544741
851,Tornio,Lappi,65.84973018,24.144091609
853,Turku,Varsinais-Suomi,60.451690351,22.266866666
857,Tuusniemi,Pohjois-Savo,62.812406598,28.488250625
858,Tuusula,Uusimaa,60.402369377,25.025142036
859,Tyrnävä,Pohjois-Pohjanmaa,64.763363971,25.652633446
886,Ulvila,Satakunta,61.432652934,21.888033305
887,Urjala,Pirkanmaa,61.081131717,23.549311266
889,Utajärvi,Pohjois-Pohjanmaa,64.76169558,26.416907969
890,Utsjoki,Lappi,69.907828523,27.026541275
892,Uurainen,Keski-Suomi,62.50080639,25.438518873
893,Uusikaarlepyy,Pohjanmaa,63.523125804,22.530086009
895,Uusikaupunki,Varsinais-Suomi,60.801207736,21.407727115
785,Vaala,Pohjois-Pohjanmaa,64.560942154,26.840673725
905,Vaasa,Pohjanmaa,63.092588875,21.615874122
908,Valkeakoski,Pirkanmaa,61.270053249,24.029248502
92,Vantaa,Uusimaa,60.298133721,25.006641332
911,Valtimo,Pohjois-Karjala,63.680306323,28.813705084
915,Varkaus,Pohjois-Savo,62.313950665,27.888587335
918,Vehmaa,Varsinais-Suomi,60.685902746,21.712512133
921,Vesanto,Pohjois-Savo,62.93103044,26.412849105
922,Vesilahti,Pirkanmaa,61.305583862,23.627636445
924,Veteli,Keski-Pohjanmaa,63.475287314,23.78862512
925,Vieremä,Pohjois-Savo,63.744069514,27.005160452
927,Vihti,Uusimaa,60.416791924,24.319858395
931,Viitasaari,Keski-Suomi,63.082792009,25.855167908
934,Vimpeli,Etelä-Pohjanmaa,63.161927977,23.820600738
935,Virolahti,Kymenlaakso,60.582071101,27.708871595
936,Virrat,Pirkanmaa,62.23848456,23.773747693
941,Vårdö,Ahvenanmaa,60.244351018,20.375338092
946,Vöyri,Pohjanmaa,63.132068002,22.252456379
976,Ylitornio,Lappi,66.323044983,23.673012317
977,Ylivieska,Pohjois-Pohjanmaa,64.072284496,24.533690188
980,Ylöjärvi,Pirkanmaa,61.55715602,23.596580124
981,Ypäjä,Kanta-Häme,60.805227741,23.272438379
989,Ähtäri,Etelä-Pohjanmaa,62.55285929,24.075018434
992,Äänekoski,Keski-Suomi,62.603307432,25.72483135
