Kunta-nro[4];Kunnan nimi;Nimitys;Kielet;Kuntakeskus;Maakunta;Seutukunta;Väkiluku[5];Kok.pinta-ala (km²)[6];Maapinta-ala (km²)[6];Väestötiheys(as./km²) 
927;Vihti;kunta;suomi;Nummela;Uusimaa;Helsingin seutukunta;28 811;567.06;522.01;55.2
931;Viitasaari;kaupunki;suomi;Viitasaaren keskustaajama;Keski-Suomi;Saarijärven–Viitasaaren seutukunta;5 877;1 589.12;1 248.54;4.7
934;Vimpeli;kunta;suomi;Vimpelin kirkonkylä;Etelä-Pohjanmaa;Järviseudun seutukunta;2 656;328.79;287.32;9.2
935;Virolahti;kunta;suomi;Virojoki;Kymenlaakso;Kotka–Haminan seutukunta;2 927;376.24;371.99;7.9
936;Virrat;kaupunki;suomi;Virtain keskustaajama;Pirkanmaa;Ylä-Pirkanmaan seutukunta;6 275;1 299.07;1 162.68;5.4
941;Vårdö;kunta;ruotsi;Vårdö;Ahvenanmaa;Ålands skärgård;471;102.10;101.71;4.6
946;Vöyri;kunta;ruotsi. suomi;Vöyrin kirkonkylä;Pohjanmaa;Vaasan seutukunta;6 291;791.33;782.14;8
976;Ylitornio;kunta;suomi;Ylitornion kirkonkylä;Lappi;Torniolaakson seutukunta;3 765;2 212.77;2 028.29;1.9
977;Ylivieska;kaupunki;suomi;Ylivieskan keskustaajama;Pohjois-Pohjanmaa;Ylivieskan seutukunta;15 369;574.20;569.83;27
980;Ylöjärvi;kaupunki;suomi;Ylöjärven kirkonkylä[17];Pirkanmaa;Tampereen seutukunta;33 677;1 323.96;1 115.75;30.2
981;Ypäjä;kunta;suomi;Ypäjän kirkonkylä;Kanta-Häme;Forssan seutukunta;2 207;183.25;182.76;12.1
989;Ähtäri;kaupunki;suomi;Ähtärin keskustaajama;Etelä-Pohjanmaa;Kuusiokuntien seutukunta;5 316;910.87;805.82;6.6
992;Äänekoski;kaupunki;suomi;Äänekosken keskustaajama;Keski-Suomi;Äänekosken seutukunta;17 971;1 13
